school,ambient,total_ambients
INSTITUTO ANA ROSA,SALA DE RECREACAO             ,12
JAMBEIRO,SALA DE AULA PROPRIA         ,12
JARDIM DA CONQUISTA,SALA DE ED. INFANTIL PROPRIA ,12
JARDIM ELIANA,SALA DE AULA PROPRIA         ,12
JARDIM KIOTO,SALA DE ED. INFANTIL PROPRIA ,12
JARDIM PERI,SALA DE ED. INFANTIL PROPRIA ,12
JEOVA RAFA,BERCARIO,12
JOAO RAMOS - PERNAMBUCO - ABOLICIONISTA,SALA DE AULA PROPRIA         ,12
JOAQUIM NABUCO,SALA DE AULA PROPRIA         ,12
JOSE QUERINO RIBEIRO,SALA DE AULA PROPRIA         ,12
JOSEFA JULIA,SALA DE ED. INFANTIL PROPRIA ,12
JULIO CESAR,BERCARIO,12
MAE ACHIROPITA,SALA DE ED. INFANTIL PROPRIA ,12
MANOEL DE BARROS,SALA DE ED. INFANTIL PROPRIA ,12
MARGARIDA BRITO FARIAS SILVA,BERCARIO,12
MARIA CLARA MACHADO,SALA DE AULA PROPRIA         ,12
MARIA RITA,BERCARIO,12
MARIA RITA LOPES PONTES - IRMA DULCE,SALA DE AULA PROPRIA         ,12
MARINA VIEIRA DE CARVALHO MESQUITA,SALA DE AULA PROPRIA         ,12
NOVO MUNDO,SALA DE ED. INFANTIL PROPRIA ,12
OLGA BENARIO PRESTES,SALA DE ED. INFANTIL PROPRIA ,12
PARQUE DO CARMO,SALA DE ED. INFANTIL PROPRIA ,12
PAULA MARIA,SALA DE ED. INFANTIL PROPRIA ,12
PAULO PRADO,SALA DE AULA PROPRIA         ,12
PEQUENOS GENIOS II,BERCARIO,12
PERA MARMELO,SALA DE AULA PROPRIA         ,12
PERUS,SALA DE AULA PROPRIA         ,12
PERUS I,SALA DE AULA PROPRIA         ,12
PINTANDO O SABER,SALA DE ED. INFANTIL PROPRIA ,12
PLACIDO DE CASTRO,SALA DE AULA PROPRIA         ,12
PRIMEIRA INFANCIA,SALA DE ED. INFANTIL PROPRIA ,12
RAIMUNDO CORREIA,SALA DE AULA PROPRIA         ,12
RAUL POMPEIA,SALA DE AULA PROPRIA         ,12
RECONCILIACAO,SALA DE RECREACAO             ,12
SAO RAFAEL,SALA DE ED. INFANTIL PROPRIA ,12
SAO ROBERTO,SALA DE ED. INFANTIL PROPRIA ,12
SERGIO MILLIET,SALA DE AULA PROPRIA         ,12
SOCRATES BRASILEIRO SAMPAIO DE SOUSA VIEIRA DE OLIVEIRA,SALA DE AULA PROPRIA         ,12
SOLANO TRINDADE,SALA DE AULA PROPRIA         ,12
TARSILA DO AMARAL,SALA DE AULA PROPRIA         ,12
TRES LAGOS,SALA DE AULA PROPRIA         ,12
VENHA CONOSCO IV,SALA DE ED. INFANTIL PROPRIA ,12
VICENTINA RIBEIRO DA LUZ,SALA DE AULA PROPRIA         ,12
VILA ATLANTICA,SALA DE AULA PROPRIA         ,12
VILA CALU,SALA DE ED. INFANTIL PROPRIA ,12
VILA MUNCK,SALA DE AULA PROPRIA         ,12
VINICIUS DE MORAES,SALA DE AULA PROPRIA         ,12
VO MARIA,BERCARIO,12
VOVO LOURIVAL,BERCARIO,12
VOVO MARIAZINHA ROCHA,SALA DE ED. INFANTIL PROPRIA ,12
19 DE NOVEMBRO,SALA DE AULA PROPRIA         ,11
22 DE MARCO,SALA DE AULA PROPRIA         ,11
ABAYOMI,SALA DE ED. INFANTIL PROPRIA ,11
ALECRIM,BERCARIO,11
ANNE SULLIVAN,SALA DE ED. ESPECIAL PROPRIA ,11
ANTON MAKARENKO,SALA DE ED. INFANTIL PROPRIA ,11
ANTONIO ESTANISLAU DO AMARAL,SALA DE AULA PROPRIA         ,11
AQUARELA DO SABER,BERCARIO,11
ARARIPE,BERCARIO,11
ARRASTAO,SALA DE ED. INFANTIL PROPRIA ,11
CAMPO LIMPO IV,SALA DE ED. INFANTIL PROPRIA ,11
CANDIDO PORTINARI,SALA DE AULA PROPRIA         ,11
CARLOS AUGUSTO DE QUEIROZ ROCHA,SALA DE AULA PROPRIA         ,11
CARMEN RODRIGUES,SALA DE AULA PROPRIA         ,11
CASA DO ZEZINHO,SALA DE RECREACAO             ,11
CHIQUINHA RODRIGUES,SALA DE AULA PROPRIA         ,11
CLEOMENES CAMPOS,SALA DE AULA PROPRIA         ,11
CONSTRUINDO HORIZONTES,BERCARIO,11
CORETO DE TAIPAS,SALA DE ED. INFANTIL PROPRIA ,11
DARCY RIBEIRO,SALA DE AULA PROPRIA         ,11
DIVINA GRACA,BERCARIO,11
DIVINA PROVIDENCIA,SALA DE ED. INFANTIL PROPRIA ,11
ESPACO BRINCAR,SALA DE ED. INFANTIL PROPRIA ,11
EUZEBIO ROCHA FILHO,SALA DE AULA PROPRIA         ,11
EVA FURNARI,BERCARIO,11
FAZENDA DA JUTA,SALA DE AULA PROPRIA         ,11
FIRMINO TIBURCIO DA COSTA,SALA DE AULA PROPRIA         ,11
GLEBA DO PESSEGO,SALA DE ED. INFANTIL PROPRIA ,11
IBRAHIM NOBRE,SALA DE AULA PROPRIA         ,11
ILHA DA JUVENTUDE,SALA DE ED. INFANTIL PROPRIA ,11
IRINEU MARINHO,SALA DE AULA PROPRIA         ,11
JARDIM AMERICANOPOLIS,SALA DE ED. INFANTIL PROPRIA ,11
JARDIM BRASIL - PRESEPIO,SALA DE AULA PROPRIA         ,11
